"table","code","name"
call_types_sound_sources,OD_BURST_PULSE:BLBW,OD_BURST_PULSE:BLBW
call_types_sound_sources,OD_BURST_PULSE:BLDO,OD_BURST_PULSE:BLDO
call_types_sound_sources,OD_BURST_PULSE:BODO,OD_BURST_PULSE:BODO
call_types_sound_sources,OD_BURST_PULSE:BODOCOCA,OD_BURST_PULSE:BODOCOCA
call_types_sound_sources,OD_BURST_PULSE:BODOOFCA,OD_BURST_PULSE:BODOOFCA
call_types_sound_sources,OD_BURST_PULSE:BOGR,OD_BURST_PULSE:BOGR
call_types_sound_sources,OD_BURST_PULSE:BOSP,OD_BURST_PULSE:BOSP
call_types_sound_sources,OD_BURST_PULSE:BRDO,OD_BURST_PULSE:BRDO
call_types_sound_sources,OD_BURST_PULSE:BUPO,OD_BURST_PULSE:BUPO
call_types_sound_sources,OD_BURST_PULSE:BW29,OD_BURST_PULSE:BW29
call_types_sound_sources,OD_BURST_PULSE:BW39V,OD_BURST_PULSE:BW39V
call_types_sound_sources,OD_BURST_PULSE:BW41,OD_BURST_PULSE:BW41
call_types_sound_sources,OD_BURST_PULSE:BW43,OD_BURST_PULSE:BW43
call_types_sound_sources,OD_BURST_PULSE:BW53,OD_BURST_PULSE:BW53
call_types_sound_sources,OD_BURST_PULSE:BW58,OD_BURST_PULSE:BW58
call_types_sound_sources,OD_BURST_PULSE:BW70,OD_BURST_PULSE:BW70
call_types_sound_sources,OD_BURST_PULSE:BWB,OD_BURST_PULSE:BWB
call_types_sound_sources,OD_BURST_PULSE:BWC,OD_BURST_PULSE:BWC
call_types_sound_sources,OD_BURST_PULSE:BWG,OD_BURST_PULSE:BWG
call_types_sound_sources,OD_BURST_PULSE:CASP,OD_BURST_PULSE:CASP
call_types_sound_sources,OD_BURST_PULSE:CLDO,OD_BURST_PULSE:CLDO
call_types_sound_sources,OD_BURST_PULSE:CODO,OD_BURST_PULSE:CODO
call_types_sound_sources,OD_BURST_PULSE:CUBW,OD_BURST_PULSE:CUBW
call_types_sound_sources,OD_BURST_PULSE:DAPO,OD_BURST_PULSE:DAPO
call_types_sound_sources,OD_BURST_PULSE:DEBW,OD_BURST_PULSE:DEBW
call_types_sound_sources,OD_BURST_PULSE:DESP,OD_BURST_PULSE:DESP
call_types_sound_sources,OD_BURST_PULSE:DSDO,OD_BURST_PULSE:DSDO
call_types_sound_sources,OD_BURST_PULSE:DSWH,OD_BURST_PULSE:DSWH
call_types_sound_sources,OD_BURST_PULSE:DUDO,OD_BURST_PULSE:DUDO
call_types_sound_sources,OD_BURST_PULSE:ESDO,OD_BURST_PULSE:ESDO
call_types_sound_sources,OD_BURST_PULSE:FIPO,OD_BURST_PULSE:FIPO
call_types_sound_sources,OD_BURST_PULSE:FIPOEA,OD_BURST_PULSE:FIPOEA
call_types_sound_sources,OD_BURST_PULSE:FIPOIP,OD_BURST_PULSE:FIPOIP
call_types_sound_sources,OD_BURST_PULSE:FIPOYA,OD_BURST_PULSE:FIPOYA
call_types_sound_sources,OD_BURST_PULSE:FKWH,OD_BURST_PULSE:FKWH
call_types_sound_sources,OD_BURST_PULSE:FRAN,OD_BURST_PULSE:FRAN
call_types_sound_sources,OD_BURST_PULSE:FRDO,OD_BURST_PULSE:FRDO
call_types_sound_sources,OD_BURST_PULSE:GBWH,OD_BURST_PULSE:GBWH
call_types_sound_sources,OD_BURST_PULSE:GEBW,OD_BURST_PULSE:GEBW
call_types_sound_sources,OD_BURST_PULSE:GOBW,OD_BURST_PULSE:GOBW
call_types_sound_sources,OD_BURST_PULSE:GRAM,OD_BURST_PULSE:GRAM
call_types_sound_sources,OD_BURST_PULSE:GRDO,OD_BURST_PULSE:GRDO
call_types_sound_sources,OD_BURST_PULSE:GSDO,OD_BURST_PULSE:GSDO
